INFO 2025-11-10 16:28:49,109 autoreload 5620 5536 Watching for file changes with StatReloader
INFO 2025-11-10 17:25:35,953 basehttp 10304 2916 "GET /static/admin_interface/css/nav-sidebar.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 2377
INFO 2025-11-10 17:25:35,977 basehttp 10304 4544 "GET /static/admin_interface/css/widgets.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 5259
INFO 2025-11-10 17:25:36,011 basehttp 10304 5604 "GET /static/admin_interface/css/third-party/import-export.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 189
INFO 2025-11-10 17:25:36,013 basehttp 10304 2916 "GET /static/admin_interface/css/third-party/modeltranslation.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 356
INFO 2025-11-10 17:25:36,018 basehttp 10304 12952 "GET /static/admin_interface/css/third-party/ckeditor.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 2720
INFO 2025-11-10 17:25:36,046 basehttp 10304 5604 "GET /static/admin_interface/css/third-party/sorl-thumbnail.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1451
INFO 2025-11-10 17:25:36,049 basehttp 10304 12952 "GET /static/admin_interface/css/third-party/tinymce.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 78
INFO 2025-11-10 17:25:36,053 basehttp 10304 2916 "GET /static/admin_interface/css/third-party/streamfield.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 6407
INFO 2025-11-10 17:25:36,054 basehttp 10304 7396 "GET /static/admin_interface/css/third-party/json-widget.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 993
INFO 2025-11-10 17:25:36,092 basehttp 10304 5604 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-11-10 17:25:36,198 basehttp 10304 2916 "GET /static/admin/css/responsive_rtl.css HTTP/1.1" 200 1991
INFO 2025-11-10 17:25:36,203 basehttp 10304 2916 "GET /static/admin/css/responsive_rtl.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1991
INFO 2025-11-10 17:25:36,281 basehttp 10304 5604 "GET /static/admin/css/responsive.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 16565
INFO 2025-11-10 17:25:36,282 basehttp 10304 7396 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-11-10 17:25:36,347 basehttp 10304 4544 "GET /static/admin_interface/css/third-party/rangefilter.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1238
INFO 2025-11-10 17:25:36,410 basehttp 10304 12952 "GET /static/admin/css/rtl.css HTTP/1.1" 200 4772
INFO 2025-11-10 17:25:36,446 basehttp 10304 7396 "GET /static/admin_interface/related-modal/related-modal.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 2888
INFO 2025-11-10 17:25:36,447 basehttp 10304 5604 "GET /static/admin_interface/magnific-popup/magnific-popup.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 6951
INFO 2025-11-10 17:25:36,537 basehttp 10304 2916 "GET /static/admin_interface/foldable-apps/foldable-apps.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1955
INFO 2025-11-10 17:25:38,498 basehttp 10304 11604 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-11-10 17:25:38,584 basehttp 10304 4544 "GET /static/admin_interface/foldable-apps/foldable-apps.js?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1750
INFO 2025-11-10 17:25:39,446 basehttp 10304 7396 "GET /static/admin_interface/related-modal/related-modal.js?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 7095
